"id";"player";"q1";"q2";"q3";"q4"
"3333";"James Milner";"8000000";"5000000";"3000000";"3000000"
"26267";"Fernandinho";"8000000";"4000000";"2500000";"2000000"
"29364";"João Moutinho";"8000000";"5000000";"4000000";"4000000"
"33713";"Theo Walcott";"12000000";"10000000";"6000000";"5000000"
"35416";"David McGoldrick";"1600000";"2000000";"2000000";"1500000"
"40613";"Jack Cork";"12000000";"8000000";"6000000";"5000000"
"43530";"Adam Lallana";"9500000";"8000000";"6000000";"4000000"
"43763";"Erik Pieters";"4000000";"3000000";"1800000";"1500000"
"45333";"James McCarthy";"2800000";"4500000";"3500000";"3000000"
"46001";"Moussa Sissoko";"20000000";"18000000";"13000000";"10000000"
"49499";"Georginio Wijnaldum";"40000000";"40000000";"35000000";"30000000"
"51471";"Mateo Kovacic";"36000000";"45000000";"45000000";"45000000"
"52495";"Chris Basham";"2400000";"3000000";"3000000";"2000000"
"52769";"Willian";"28000000";"19000000";"12000000";"9000000"
"53360";"Jay Rodríguez";"4800000";"6000000";"5000000";"4000000"
"53622";"İlkay Gündoğan";"40000000";"40000000";"40000000";"40000000"
"54383";"John Fleck";"8000000";"8000000";"6000000";"5000000"
"60444";"Thiago Alcántara";"48000000";"48000000";"35000000";"30000000"
"61651";"Jordan Henderson";"28000000";"28000000";"22000000";"20000000"
"61832";"Jake Livermore";"7000000";"5500000";"3000000";"2500000"
"61842";"Andros Townsend";"12000000";"9500000";"8000000";"7000000"
"66100";"Oriol Romeu";"8000000";"8000000";"7000000";"6000000"
"68390";"Séamus Coleman";"9500000";"9500000";"7000000";"5000000"
"71292";"Jonjo Shelvey";"14500000";"14500000";"13000000";"13000000"
"73547";"Oliver Norwood";"8000000";"7000000";"7000000";"5000000"
"74300";"Luka Milivojevic";"20000000";"12000000";"10000000";"8000000"
"74683";"Nemanja Matic";"16000000";"16000000";"10000000";"8000000"
"77100";"Lucas Moura";"32000000";"25000000";"25000000";"25000000"
"77274";"Matt Phillips";"7000000";"5500000";"4000000";"4000000"
"82873";"Pascal Groß";"9500000";"7000000";"7000000";"7000000"
"88103";"James Rodríguez";"32000000";"35000000";"30000000";"28000000"
"88755";"Kevin De Bruyne";"120000000";"120000000";"100000000";"100000000"
"89231";"Jóhann Berg Gudmundsson";"8000000";"6500000";"4000000";"3000000"
"90466";"Gylfi Sigurdsson";"22500000";"18000000";"15000000";"13000000"
"91317";"Ashley Westwood";"5500000";"5500000";"5000000";"5000000"
"92469";"Matt Ritchie";"9500000";"9500000";"4000000";"3000000"
"92738";"Mateusz Klich";"3500000";"3500000";"3500000";"4000000"
"102017";"Jorginho";"52000000";"50000000";"45000000";"40000000"
"108354";"Jordan Ayew";"6500000";"10000000";"8000000";"8000000"
"111051";"Nampalys Mendy";"5500000";"8000000";"8000000";"8000000"
"111455";"Granit Xhaka";"24000000";"25000000";"22000000";"22000000"
"113036";"Romaine Sawyers";"4000000";"3200000";"2500000";"2000000"
"122153";"Paul Pogba";"80000000";"65000000";"60000000";"60000000"
"126422";"Allan";"40000000";"25000000";"22000000";"22000000"
"126664";"Lucas Digne";"28000000";"33000000";"35000000";"35000000"
"127187";"Abdoulaye Doucouré";"20000000";"25000000";"25000000";"25000000"
"128229";"Robbie Brady";"4800000";"4800000";"3000000";"3000000"
"129078";"Nathan Redmond";"16000000";"18000000";"18000000";"18000000"
"129604";"Ezgjan Alioski";"4500000";"3500000";"4000000";"5000000"
"130765";"Stuart Armstrong";"6500000";"6500000";"6500000";"8000000"
"131505";"Rodrigo";"40000000";"30000000";"20000000";"18000000"
"131978";"Ross Barkley";"21500000";"21500000";"20000000";"20000000"
"137616";"Okay Yokuşlu";"6000000";"6000000";"4000000";"7500000"
"141660";"Jesse Lingard";"22000000";"14000000";"15000000";"22000000"
"144028";"Leandro Trossard";"13000000";"15000000";"15000000";"17000000"
"146795";"Ryan Fraser";"22000000";"16000000";"12000000";"10000000"
"148262";"Jeff Hendrick";"9000000";"9000000";"9000000";"9000000"
"149716";"Ivan Cavaleiro";"10000000";"8000000";"8000000";"7000000"
"156941";"John Lundstram";"10000000";"8000000";"7000000";"7000000"
"157506";"Jeffrey Schlupp";"9500000";"10000000";"9000000";"9000000"
"158764";"Stuart Dallas";"3000000";"3000000";"3000000";"4000000"
"160438";"Mohamed Elneny";"6300000";"7000000";"10000000";"10000000"
"167799";"Pierre-Emile Højbjerg";"12000000";"30000000";"35000000";"40000000"
"168157";"Leander Dendoncker";"22500000";"28000000";"32000000";"30000000"
"170934";"Mario Lemina";"13000000";"10000000";"10000000";"10000000"
"173900";"Hélder Costa";"10000000";"12000000";"10000000";"10000000"
"181579";"James Ward-Prowse";"14500000";"25000000";"28000000";"30000000"
"183299";"Callum Robinson";"7000000";"8000000";"6000000";"6000000"
"191614";"Fred";"17500000";"17500000";"22000000";"22000000"
"193116";"John McGinn";"16000000";"20000000";"28000000";"30000000"
"199527";"Jacob Murphy";"4500000";"3500000";"3500000";"4000000"
"202886";"Ruben Loftus-Cheek";"24000000";"24000000";"20000000";"18000000"
"203460";"Jack Grealish";"38000000";"50000000";"60000000";"65000000"
"206225";"Isaac Hayden";"8000000";"10000000";"10000000";"10000000"
"217111";"Hakim Ziyech";"40000000";"40000000";"40000000";"38000000"
"217115";"Neal Maupay";"17500000";"22000000";"20000000";"20000000"
"218087";"Ben Osborn";"2000000";"2000000";"2000000";"2000000"
"221025";"André Gomes";"22500000";"20000000";"20000000";"20000000"
"225083";"N'Golo Kanté";"80000000";"60000000";"55000000";"55000000"
"225161";"Rúben Neves";"40000000";"50000000";"50000000";"45000000"
"225693";"Fabinho";"56000000";"60000000";"60000000";"60000000"
"225984";"Matheus Pereira";"12000000";"13000000";"13000000";"15000000"
"226973";"Harrison Reed";"3000000";"9000000";"10000000";"10000000"
"230784";"Thomas Partey";"40000000";"50000000";"45000000";"40000000"
"240306";"Bruno Fernandes";"48000000";"80000000";"90000000";"90000000"
"241481";"Jairo Riedewald";"3200000";"4500000";"6000000";"8000000"
"241641";"Bernardo Silva";"80000000";"80000000";"70000000";"70000000"
"246968";"Ayoze Pérez";"24000000";"20000000";"18000000";"18000000"
"249565";"Youri Tielemans";"44000000";"45000000";"55000000";"55000000"
"256977";"Daniel Podence";"15000000";"25000000";"25000000";"25000000"
"272642";"Allan Saint-Maximin";"20000000";"32000000";"28000000";"30000000"
"272999";"Miguel Almirón";"16000000";"16000000";"16000000";"16000000"
"274839";"Wilfred Ndidi";"36000000";"45000000";"50000000";"60000000"
"283628";"Tomas Soucek";"15000000";"20000000";"40000000";"40000000"
"284165";"Steven Bergwijn";"28000000";"28000000";"25000000";"22000000"
"285845";"Ainsley Maitland-Niles";"14500000";"18000000";"18000000";"16000000"
"290532";"Saïd Benrahma";"13000000";"22000000";"22000000";"22000000"
"293569";"Josh Brownhill";"7000000";"5500000";"7000000";"7000000"
"294057";"James Maddison";"48000000";"55000000";"60000000";"55000000"
"296986";"Tyler Roberts";"4000000";"3600000";"5000000";"6000000"
"309400";"Kai Havertz";"81000000";"81000000";"70000000";"70000000"
"314183";"Karlan Grant";"8000000";"8000000";"9000000";"8000000"
"314210";"Tom Davies";"16000000";"16000000";"16000000";"18000000"
"314875";"Jarrod Bowen";"20000000";"28000000";"30000000";"30000000"
"315969";"Scott McTominay";"22500000";"22500000";"30000000";"35000000"
"319745";"Dani Ceballos";"32000000";"32000000";"30000000";"27000000"
"333014";"Sander Berge";"20000000";"18000000";"18000000";"18000000"
"333241";"Joelinton";"25000000";"20000000";"17000000";"17000000"
"335721";"Ben White";"7000000";"15000000";"25000000";"28000000"
"340329";"Joe Willock";"16000000";"16000000";"16000000";"16000000"
"342048";"Grady Diangana";"5000000";"12000000";"12000000";"10000000"
"346483";"Mason Mount";"40500000";"45000000";"60000000";"75000000"
"346707";"Sean Longstaff";"17500000";"17500000";"15000000";"15000000"
"348795";"Giovani Lo Celso";"40000000";"35000000";"30000000";"27000000"
"351749";"Kalvin Phillips";"15000000";"22000000";"27000000";"40000000"
"354361";"Frank Anguissa";"20000000";"20000000";"25000000";"25000000"
"357565";"Rodri";"64000000";"64000000";"70000000";"70000000"
"357662";"Declan Rice";"49500000";"55000000";"60000000";"70000000"
"357885";"Pablo Fornals";"20000000";"18000000";"18000000";"18000000"
"392765";"Emile Smith Rowe";"3000000";"2700000";"13000000";"18000000"
"392771";"Ethan Ampadu";"9000000";"10000000";"12000000";"15000000"
"398065";"Harvey Barnes";"17500000";"28000000";"35000000";"35000000"
"398184";"Ferran Torres";"50000000";"45000000";"50000000";"50000000"
"406040";"Ademola Lookman";"13500000";"10000000";"13000000";"11000000"
"406635";"Phil Foden";"27000000";"60000000";"70000000";"80000000"
"410425";"Yves Bissouma";"9500000";"13000000";"17000000";"25000000"
"410708";"Pascal Struijk";\N;"2500000";"7000000";"9000000"
"411295";"Raphinha";"20000000";"18000000";"25000000";"30000000"
"413032";"Ibrahima Diallo";"10000000";"15000000";"15000000";"15000000"
"417346";"Jack Harrison";"6500000";"7000000";"15000000";"15000000"
"433188";"Curtis Jones";"1800000";"17000000";"30000000";"30000000"
"447661";"Douglas Luiz";"18000000";"27000000";"35000000";"35000000"
"450936";"Tanguy Ndombélé";"52000000";"40000000";"50000000";"50000000"
"476237";"Steven Alzate";"2300000";"7000000";"7000000";"6000000"
"479999";"Eberechi Eze";"10000000";"18000000";"20000000";"20000000"
"485424";"Moussa Djenepo";"11000000";"13000000";"13000000";"13000000"
"487465";"Pedro Neto";"13000000";"27000000";"35000000";"35000000"
"488362";"Conor Gallagher";"6000000";"10000000";"12000000";"15000000"
"534033";"Alexis Mac Allister";"11000000";"11000000";"10000000";"10000000"
"584769";"Dwight McNeil";"18000000";"25000000";"22000000";"22000000"
